addressOSM,query,affectedRows
"25, rue Lefort","25, rue Lefort, Genève, Switzerland",1
Collonges-Bellerive,"Collonges-Bellerive, Genève, Switzerland",3
"3, Rue Henri-Spiess","3, Rue Henri-Spiess, Genève, Switzerland",3
"82, Route de Valavran, Les Grands-Champs, Grand-Bois, Bellevue","82, Route de Valavran, Les Grands-Champs, Grand-Bois, Bellevue, Genève, Switzerland",12
"25, Avenue des Cavaliers, Chêne-Bourgeries","25, Avenue des Cavaliers, Chêne-Bourgeries, Genève, Switzerland",2
"9, Avenue Alfred-Bertrand, Florrisant","9, Avenue Alfred-Bertrand, Florrisant, Genève, Switzerland",2
"1, Rue de la Voie Creuse","1, Rue de la Voie Creuse, Genève, Switzerland",2
